id,hotel_name,hotel_description,star_classification,auto_confirmation,triggers,hotel_classification,longitude,latitude,provider,hotel_address,trip_advisor_link,hotel_image,country,city,micro_location,hotel_status,start_date,end_date,vendor_id,updated_by,created_at,updated_at,additional_data_1,markup,sub_description,deleted_at,temp_column
11,Hotel Suisse,"Striking the perfect balance of comfort and style, Hotel Suisse Kandy captures the area’s rich history and charm, situated in the heart of Kandy facing the romantic promenade of Kandy Lake amidst the deep emerald nature.",3,0,0,4,80.642924,7.288386,1,"30, Sangaraja Mawatha, Kandy 20000, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304138-d447508-Reviews-Hotel_Suisse-Kandy_Kandy_District_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/JDxsX6Z6ZvtXLx5dxiu01h1oBtoVIRgIZOaiPMMt.jpg,LK,Kandy,Kandy,1,2024-10-03,2025-03-31,147,147,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"Hotel Suisse Kandy offers a stylish stay blending comfort with rich history, located at Kandy Lake promenade.",,
12,Queens Hotel,"Queen's Hotel is housed in a historical building located 50 meters from Kandy Lake. It offers colonial-style accommodation with an outdoor pool, 3 dining options, and free parking on site.",3,0,0,4,80.6383765,7.2932328,1,"D S Senanayake Veediya, Kandy 20000, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304138-d455946-Reviews-Queens_Hotel_Kandy-Kandy_Kandy_District_Central_Province.html,"https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/vUOP5Gfqqo9hokjT3O2rrPSUuL2nlgISXVNHOeRf.jpg,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/uEZtnjW4w4MxJy75CRaG5os8eyKqa6070VUPDhWW.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/QtQZuLkiT7iGiwpcYgamWq1cOYpyx2HeMmbRWKOw.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/VqbfrTNd7msDUG7q0C1pgsa6mmhb5leNI42bGdUD.png",LK,Kandy,Kandy,1,2024-10-07,2025-03-31,148,792,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"Iconic historic Queen's Hotel in Kandy, Sri Lanka, offers 80 British Colonial style luxury rooms.",,
13,Senani Hotel,"<p>Hotel Senani is a charming hotel located in Kandy, Sri Lanka, offering panoramic views of the lush hills and the bustling city below. The hotel features comfortable and well-appointed rooms with modern amenities, providing a relaxing atmosphere for guests. Its location offers easy access to Kandy’s key attractions, including the Temple of the Sacred Tooth Relic and Kandy Lake. The hotel also boasts a restaurant serving a variety of local and international dishes, a swimming pool, and friendly service, making it a welcoming base for travelers exploring the cultural heart of Sri Lanka.</p>",2,0,0,4,80.643444,7.285212,1,"167/1 Rajapihilla Mawatha, Kandy 20000, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304138-d803221-Reviews-Senani_Hotel-Kandy_Kandy_District_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/iVPRRBQIOzwBOf5NNSlJj7vrjoXP7LBIzSkvF3hV.jpg,LK,Kandy,Kandy,1,2024-12-03,2025-09-15,149,792,2024-10-08 00:00:00,2024-12-03 06:23:47,USD,18,"Hotel Senani in Kandy, Sri Lanka offers comfortable rooms, scenic views, and easy access to key attractions.",,
14,Swiss Residence Kandy,"<p>Swiss Residence Hotel, located in the heart of Kandy, offers a blend of Swiss charm and Sri Lankan hospitality. This hillside hotel provides comfortable rooms with scenic views, a rooftop bar, a pool, and a fine dining experience. Ideal for those seeking relaxation while being close to Kandy's cultural landmarks.</p>",2,0,0,4,80.6301505,7.2969954,1,"23, Bahirawakanda Bahirawakanda Lane, Kandy 20000, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304138-d477850-Reviews-The_Swiss_Residence-Kandy_Kandy_District_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/93nnpM54wAOiN1DdI6fLJHnjAvLwaRmWEAhgms60.jpg,LK,Kandy,Kandy,1,2024-12-03,2025-09-15,150,792,2024-10-08 00:00:00,2024-12-03 05:33:21,USD,18,The Swiss Residence in Kandy provides a welcoming and personalized experience in a World Heritage City setting.,,
15,Hotel Devon,"Hotel Devon is a comfortable and convenient hotel located in the heart of Kandy, Sri Lanka. Known for its warm hospitality and excellent service, the hotel offers well-appointed rooms that cater to both leisure and business travelers. With a range of modern amenities, including a swimming pool, fitness center, and on-site dining options, guests can enjoy a relaxing stay. Its central location makes it easy to explore Kandy's cultural landmarks, such as the Temple of the Tooth Relic, as well as nearby shopping and dining options. Hotel Devon is a great choice for those looking to experience the charm of Kandy with ease and comfort.",3,0,0,4,80.649987,7.284495,1,"51 Ampitiya Road, Kandy 20160, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304138-d1520657-Reviews-Hotel_Devon-Kandy_Kandy_District_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/wAMB9gjdXqrTvlC6VKbNSPMHgas6RUu6vaOGFB6M.jpg,LK,Kandy,Kandy,1,2024-10-03,2025-03-31,151,151,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"Hotel Devon in Kandy offers cozy rooms, warm service, and convenient amenities for a pleasant stay.",,
16,Mahaweli Reach,"<p>Mahaweli Reach is a luxurious hotel situated along the banks of the Mahaweli River in Kandy, Sri Lanka. Known for its elegant colonial architecture and stunning river views, the hotel offers a blend of traditional charm and modern comfort. Guests can enjoy spacious, well-appointed rooms, a beautiful outdoor pool, and a range of dining options that showcase both local and international cuisine. The hotel also features a spa, fitness center, and lush gardens, providing a tranquil retreat for relaxation. Its location offers easy access to Kandy's cultural attractions, making Mahaweli Reach a perfect choice for those seeking both luxury and cultural immersion.</p>",5,0,500,4,80.6312374,1,1,"35, P.B.A.Weerakoon Mawatha, P B A Weerakoon Mawatha, Kandy 20000, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304138-d316941-Reviews-Mahaweli_Reach_Hotel-Kandy_Kandy_District_Central_Province.html,"https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/S4XB0PVVbtUCxVPGOArl1cz0euIc8MZI1wXEEZlL.jpg,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/R0pftZ292mHyMwTAfr77azrQay3Bo2HChbPxxmRa.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/Femdq0Mp2PSmKEsEdrRUMcaTqRDL6V6LKf46yNWk.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/oDaZ7Z7LP7KQEjZm33VOjIrZ8gFjjmP02rlOxDUC.png",LK,Kandy,Kandy,1,2024-12-13,2025-04-30,152,792,2024-10-08 00:00:00,2024-12-13 04:45:49,USD,18,"Luxurious hotel along Mahaweli River in Kandy, Sri Lanka, offering colonial charm, river views, and modern amenities.",,
17,The Grand Hotel,"<p>The Grand Hotel is a historic luxury hotel located in the scenic hill town of Nuwara Eliya, Sri Lanka. Originally a colonial mansion, the hotel exudes old-world charm with its Tudor-style architecture, manicured gardens, and elegant interiors. Offering a blend of heritage and modern comfort, The Grand Hotel features luxurious rooms, fine dining restaurants, and cozy lounges with fireplaces. Guests can indulge in traditional afternoon tea, explore the beautiful gardens, or relax in the spa. Positioned in the heart of Nuwara Eliya, the hotel provides easy access to the town's attractions, including tea plantations and picturesque landscapes, making it an ideal retreat for those seeking a blend of history and luxury.</p>",4,0,0,,80.7648965,6.968231,1,"No. 05, Grand Hotel Rd, Nuwara Eliya 22200, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g608524-d579206-Reviews-The_Grand_Hotel-Nuwara_Eliya_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/oXw90LEVKdD62zz2NB31Y6WsfzWKbi7WVIrDg60J.jpg,LK,Nuwara Eliya,Nuwara Eliya,1,2025-01-02,2025-09-15,153,792,2024-10-08 00:00:00,2025-01-02 11:15:20,USD,18,"Historic luxury hotel in Nuwara Eliya, Sri Lanka with Tudor-style architecture and modern comforts. Ideal for relaxation and exploration.",,
18,Heaven Seven - Nuwara Eliya,"<p>Surrounded by lush greenery, Heaven Seven Hotels is located in peaceful Nuwara Eliya. Free WiFi is available at all areas, and guestrooms come fitted with a private balcony. The accommodation is located 1.6 km away from both Nuwara Eliya Golf Club and Royal Colombo Golf Club. Enjoying panoramic mountain views, all the rooms feature a flat-screen TV, a dining area including an oven and a dishwasher. There is also a private outdoor terrace and an attached bathroom. Guests can utilize the free motorbike rentals and free parking facilities. The friendly staff at Heaven Seven Hotels can arrange various activities including horse-riding, cycling, and hiking. Other facilities include car rentals and barbecue facilities. Traditional Sri Lankan-style meals can be enjoyed at the on-site restaurant. Room service is available, and packed lunches can be arranged.</p>",3,0,0,,80.7646924,6.9612065,1,"6 Haddon Hill Rd, Nuwara Eliya 22200, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g608524-d3459790-Reviews-Heaven_Seven_Hotel_Nuwara_Eliya-Nuwara_Eliya_Central_Province.html,"https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/XdmnYWm4aweIB2mPBJpNBZJ1m8DIizgy8bVTdh6n.jpg,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/RLPuOFVa3fiDvvvNWOksKIvxsLPrnfLOWVqKCaR3.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/45OxO665a2PKJbjSJlalDc1vNxSQ54kgJUQlcOED.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/SdNGtCFzvfiXs3AhOmKqtwRME6gfAsj7vZMXPMoB.png",LK,Nuwara Eliya,Nuwara Eliya,1,2024-12-28,2025-09-15,154,792,2024-10-08 00:00:00,2024-12-28 07:40:10,USD,18,"Heaven Seven Hotels in Nuwara Eliya offers lush greenery, free WiFi, panoramic mountain views, and various outdoor activities.",,
19,Hotel Jetwing St.Andrews,"Standing out amidst the inspiring scenic beauty of mist-shrouded mountains and lush greenery, Jetwing St. Andrew’s enjoys a captivating locale in Sri Lanka’s hill capital, Nuwara Eliya. Retaining its unique old-world charm, the hotel is now a grand colonial residence that exudes a sense of historic grandeur. Discover the charms of traditional bedchambers, indulge yourself in an array of unique gastronomical experiences, and embark on picturesque adventures in, around, and beyond our nostalgic neighborhood of Nuwara Eliya.",4,0,0,4,80.76369868,6.982354536,1,"Jetwing St. Andrews, XQH7+X3R, No. 10, St. Andrew’s Road, Nuwara Eliya 22200",https://www.tripadvisor.com/Hotel_Review-g608524-d579216-Reviews-Jetwing_St_Andrew_s-Nuwara_Eliya_Central_Province.html,"https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/W5l6M6vBNuLwiunFgXIzxZWyZcXNFUpjNzKyUsVI.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/LN2TQkHInDqNW3YlIMbuy7fQmDEUiDLsFfWMWMvS.png",LK,Nuwara Eliya,Nuwara Eliya,1,2024-09-15,2025-09-15,338,155,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,Colonial charm with scenic views and unique culinary experiences.,,
22,Hotel The Palms,"<p>The Palms Hotel in Beruwala is an excellent choice for family-friendly accommodations, offering amenities designed to enhance your stay, such as free internet access, flat-screen TVs, minibars, and air conditioning in each room. Guests can enjoy a pool and poolside bar, along with services like concierge and room service. The hotel is conveniently located near attractions like Kechimalai Mosque (1.6 mi) and Barberyn Island Lighthouse (1.1 mi), both easily accessible for exploration. For local dining, be sure to try the shrimp specialties at FRESH Seafood Restaurant. Free parking is also available for those traveling by car.</p>",4,0,0,4,79.9811454,6.4496827,1,"Beruwala, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g1189172-d777127-Reviews-The_Palms_Hotel-Beruwala_Western_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/QasjedYhFJdDdPFPGd2xM5FCNhBrK3TtrPeGTYHw.jpg,LK,Bentota,Bentota,1,2024-10-08,2025-04-30,158,792,2024-10-08 00:00:00,2024-10-08 12:45:05,USD,18,"Family-friendly hotel with pool, near local attractions and dining.",,
23,Occidental Eden Beruwela,"<p>Occidental Eden Beruwala is a tranquil paradise on Sri Lanka’s west coast, offering 158 beautifully designed rooms that blend local cultural decor with modern comfort. Guests can indulge in exclusive culinary experiences at diverse dining venues, while the Ayurvedic Spa provides a perfect retreat for relaxation with skilled masseurs. Additional amenities include a hair salon, beauty center, and fitness studio. Enjoy sunbathing on beachside loungers, savor stunning sunsets, and explore miles of pristine beaches, making it the ultimate family beach holiday destination in Beruwala, where true 5-star luxury awaits.</p>",5,0,500,,79.989269,6.444476,1,"Kaluwamodara, Beruwala 12070, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g1189172-d496617-Reviews-Eden_Resort_Spa-Beruwala_Western_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/tanQusdDAsfaUnG16jUltdu0xpZTF1y5n1Kt0YL3.jpg,LK,Bentota,Bentota,1,2025-01-09,2025-10-31,159,792,2024-10-08 00:00:00,2025-01-09 08:14:32,USD,18,"Occidental Eden Beruwala: luxurious beachfront retreat with diverse dining, spa, and family-friendly amenities.",,
24,The Surf ( Ekho Surf),"<p>Nestled along the sun-kissed southwest coast of Sri Lanka, EKHO Surf is an invitation to a paradisiacal haven. Here, on a kilometer-long expanse of velvety-soft sand, aptly celebrated as 'the longest stretch of beach' in the region, you'll be serenaded by the gentle waves of the Indian Ocean. It's not just a beach; it's a dreamscape brought to life. EKHO Surf is not merely a place; it's a state of mind. In this enchanting oasis, you'll savor the essence of a truly authentic tropical escape. Immerse yourself in Sri Lanka's rich culture, bask in the warm hospitality, and be mesmerized by the captivating beauty of the southwest coast. Here, we promise more than just a vacation; we promise an unforgettable odyssey into the heart of paradise. Come, embrace the tropics, and create memories that will last a lifetime.</p>",4,0,0,,79.9961114,6.4202723,1,"Bentota, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g297895-d315672-Reviews-The_Surf_Hotel-Bentota_Galle_District_Southern_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/wu7SXTY87BnWcM4cdksZG1ja2UsMVKKycGyfyQJ1.jpg,LK,Bentota,Bentota,1,2025-01-08,2025-10-31,160,792,2024-10-08 00:00:00,2025-01-08 11:26:36,USD,18,"Paradisiacal haven on Sri Lanka's southwest coast, EKHO Surf offers a dreamy escape by the Indian Ocean.",,
25,Oak Ray Serene Garden,"<p>Oakray Serene Garden Hotel is situated within a 5-minute drive from the city center and overlooks the serene Kandy Lake. Above all these things, something unique about Serene Garden Hotel is its ambiance; the experience blends with the unique enchantment that Kandy serenely weaves in the mind of the foreign traveler, as it has done for centuries. From Serene Garden Hotel, it is a 10-minute drive to the Dalada Maligawa (The Temple of the Tooth) around Kandy Lake. This hallowed temple is synonymous with the historic hill capital of Kandy, where the tooth relic of the Buddha is enshrined—an enduring symbol of a nation’s sovereignty.</p>",3,0,0,4,80.644122,7.284863,1,"189 Rajapihilla Mawatha, Kandy 20000, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304138-d1132201-Reviews-Oak_Ray_Serene_Garden_Hotel-Kandy_Kandy_District_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/Ym8IpqHeauAO8C141TcOEaIJoimIWHqMGIDondvE.png,LK,Kandy,Kandy,1,2024-12-03,2025-09-15,161,792,2024-10-08 00:00:00,2024-12-03 07:03:18,USD,18,"Oakray Serene Garden Hotel, 5 minutes from Kandy center, offers tranquil ambiance near Kandy Lake and Dalada Maligawa.",,
